"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 06 12:06:00 CST 2021","Sun Jun 06 12:06:00 CST 2021","10","TestAllureCases","test_Allure_Attachment","","","","test_attachments",""
"passed","Sun Jun 06 12:06:00 CST 2021","Sun Jun 06 12:06:00 CST 2021","3","TestAllureCases","test_Allure_Attachment","","","","test_attach",""
